,PostalCode,Borough,Neighborhood,Latitude,Longitude
0,M3A,North York,Parkwoods,43.75242000000003,-79.32924245299995
1,M4A,North York,Victoria Village,43.73060024600005,-79.31326499999994
2,M5A,Downtown Toronto,Harbourfront,43.65029500000003,-79.35916572299999
3,M6A,North York,Lawrence Heights,43.72327000000007,-79.45128601699997
4,M6A,North York,Lawrence Manor,43.72327000000007,-79.45128601699997
5,M7A,Downtown Toronto,Queen's Park,43.66115033500006,-79.39171499999998
6,M9A,Queen's Park,Queen's Park,43.66229908300005,-79.52819499999998
7,M1B,Scarborough,Rouge,43.811525000000074,-79.19551746399998
8,M1B,Scarborough,Malvern,43.811525000000074,-79.19551746399998
9,M3B,North York,"Don Mills North
",43.749055000000055,-79.36222672499997
10,M4B,East York,Woodbine Gardens,43.707535000000064,-79.31177329699995
11,M4B,East York,Parkview Hill,43.707535000000064,-79.31177329699995
12,M5B,Downtown Toronto,"Ryerson
",43.65736301100003,-79.37817999999999
13,M5B,Downtown Toronto,"Garden District
",43.65736301100003,-79.37817999999999
14,M6B,North York,"Glencairn
",43.70799000000005,-79.44836733199998
15,M9B,Etobicoke,"Cloverdale
",43.65034698100004,-79.55503999999996
16,M9B,Etobicoke,Islington,43.65034698100004,-79.55503999999996
17,M9B,Etobicoke,"Martin Grove
",43.65034698100004,-79.55503999999996
18,M9B,Etobicoke,Princess Gardens,43.65034698100004,-79.55503999999996
19,M9B,Etobicoke,West Deane Park,43.65034698100004,-79.55503999999996
20,M1C,Scarborough,Highland Creek,43.78566500000005,-79.15872457299997
21,M1C,Scarborough,Rouge Hill,43.78566500000005,-79.15872457299997
22,M1C,Scarborough,Port Union,43.78566500000005,-79.15872457299997
23,M3C,North York,Flemingdon Park,43.72142500000007,-79.34345422799998
24,M3C,North York,"Don Mills South
",43.72142500000007,-79.34345422799998
25,M4C,East York,Woodbine Heights,43.689640000000054,-79.30687387799998
26,M5C,Downtown Toronto,St. James Town,43.65121000000005,-79.37548057699996
27,M6C,York,Humewood-Cedarvale,43.69210517800008,-79.43035499999996
28,M9C,Etobicoke,"Bloordale Gardens
",43.648573449000025,-79.57824999999997
29,M9C,Etobicoke,"Eringate
",43.648573449000025,-79.57824999999997
30,M9C,Etobicoke,Markland Wood,43.648573449000025,-79.57824999999997
31,M9C,Etobicoke,"Old Burnhamthorpe
",43.648573449000025,-79.57824999999997
32,M1E,Scarborough,"Guildwood
",43.76581500000003,-79.17519294699997
33,M1E,Scarborough,Morningside,43.76581500000003,-79.17519294699997
34,M1E,Scarborough,West Hill,43.76581500000003,-79.17519294699997
35,M4E,East Toronto,The Beaches,43.67653121600006,-79.29542499999997
36,M5E,Downtown Toronto,Berczy Park,43.64516015600003,-79.37367499999993
37,M6E,York,"Caledonia-Fairbanks
",43.68864000000008,-79.45101761399997
38,M1G,Scarborough,Woburn,43.768369121000035,-79.21758999999997
39,M4G,East York,Leaside,43.70949500000006,-79.36398897099997
40,M5G,Downtown Toronto,"Central Bay Street
",43.65609081300005,-79.38492999999994
41,M6G,Downtown Toronto,"Christie
",43.66878132800008,-79.42070999999999
